(c) Die Bundeswahlleiterin, Wiesbaden 2025;;;;;;;;;;;;;;;;
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Ergebnisse nach Wahlkreisen;;;;;;;;;;;;;;;;
Status:;Vorläufig;;;;;;;;;;;;;;;
Stand:;24.02.2025;04:08;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Format: CSV. Trennzeichen: Semikolon. Zeichensatz: UTF-8 mit BOM;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Wahlart;Wahltag;Gebietsart;Gebietsnummer;Gebietsname;UegGebietsart;UegGebietsnummer;Gruppenart;Gruppenname;Gruppenreihenfolge;Stimme;Anzahl;Prozent;VorpAnzahl;VorpProzent;DiffProzent;DiffProzentPkt;Bemerkung;Gewählt
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Einzelbewerber/Wählergruppe;Einzelbewerber/Wählergruppe;13;1;2632;0,258622;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;dieBasis;14;1;;;16019;1,744826;;-1,744826;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;dieBasis;14;2;;;16336;1,777857;;-1,777857;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;Team Todenhöfer;15;1;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;Team Todenhöfer;15;2;;;2146;0,233551;;-0,233551;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;ÖDP;16;1;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;ÖDP;16;2;;;1189;0,1294;;-0,1294;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;PdH;17;1;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;PdH;17;2;;;1277;0,138977;;-0,138977;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;Die PARTEI;18;1;;;3692;0,402141;;-0,402141;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;Die PARTEI;18;2;;;7900;0,859762;;-0,859762;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;PIRATEN;19;1;;;3812;0,415212;;-0,415212;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;PIRATEN;19;2;;;4259;0,46351;;-0,46351;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;System-Gruppe;Übrige;1000;1;;;4109;0,447562;;-0,447562;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;System-Gruppe;Übrige;1000;2;;;7154;0,778574;;-0,778574;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;System-Gruppe;Wahlberechtigte;-4;;1299260;;1298792;;0,036033;;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;System-Gruppe;Wählende;-3;;1050234;80,833244;1011044;77,844951;3,876191;2,988292;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;System-Gruppe;Ungültige;-2;1;8707;0,829053;7720;0,763567;12,784974;0,065486;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;System-Gruppe;Ungültige;-2;2;5365;0,510839;5500;0,543992;-2,454545;-0,033154;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;System-Gruppe;Gültige;-1;1;1041527;99,170947;1003324;99,236433;3,807643;-0,065486;;
BT;23.02.2025;Land;02;Hamburg;BUND;99;System-Gruppe;Gültige;-1;2;1044869;99,489161;1005544;99,456008;3,910818;0,033154;;
